"movie_title","duration","director_name","director_facebook_likes","actor_1_name","actor_1_facebook_likes","actor_2_name","actor_2_facebook_likes","actor_3_name","actor_3_facebook_likes","num_critic_for_reviews","num_user_for_reviews","num_voted_users","cast_total_facebook_likes","movie_facebook_likes","plot_keywords","facenumber_in_poster","color","genres","title_year","language","country","content_rating","aspect_ratio","movie_imdb_link","gross","budget","imdb_score"
"Parker ",118,"Taylor Hackford",138,"Jason Statham",26000,"Clifton Collins Jr.",968,"Wendell Pierce",458,224,141,90046,28479,17000,"action hero|disguise|hospital|real estate agent|thief",0,"Color","Action|Crime|Romance|Thriller",2013,"English","USA","R",2.35,"http://www.imdb.com/title/tt1904996/?ref_=fn_tt_tt_1",17609982,3.5e+07,6.2
"Nomad: The Warrior ",112,"Sergey Bodrov",44,"Jay Hernandez",1000,"Kuno Becker",580,"Jason Scott Lee",533,30,32,3322,2115,265,"1800s|kazakhstan|nomad",0,"Color","Drama|History|War",2005,"Kazakh","France","R",2.35,"http://www.imdb.com/title/tt0374089/?ref_=fn_tt_tt_1",77231,2.5e+07,6
"American History X ",101,"Tony Kaye",194,"Ethan Suplee",1000,"Beverly D'Angelo",816,"Stacy Keach",602,162,1420,782437,3858,35000,"curb stomping|neo nazi|prison|son dislikes mother's boyfriend|white supremacist",2," Black and White","Crime|Drama",1998,"English","USA","R",1.85,"http://www.imdb.com/title/tt0120586/?ref_=fn_tt_tt_1",6712241,7500000,8.6
"Juwanna Mann ",91,"Jesse Vaughan",10,"Vivica A. Fox",890,"Jenifer Lewis",578,"Kevin Pollak",574,32,40,5312,3104,939,"basketball|dodge viper|hit in the crotch|male nudity|the star spangled banner",3,"Color","Comedy|Drama|Romance|Sport",2002,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0247444/?ref_=fn_tt_tt_1",13571817,15600000,4.5
"The Lunchbox ",104,"Ritesh Batra",25,"Nawazuddin Siddiqui",638,"Nimrat Kaur",85,"Lillete Dubey",73,195,162,30479,822,16000,"delivery|delivery to wrong address|lunchbox|open ended|unconventional romance",2,"Color","Drama|Romance",2013,"Hindi","India","PG",2.35,"http://www.imdb.com/title/tt2350496/?ref_=fn_tt_tt_1",4231500,1e+06,7.8
"The Shipping News ",111,"Lasse Hallström",529,"Kevin Spacey",18000,"Scott Glenn",826,"Jason Behr",505,119,208,28542,19805,0,"employee employer relationship|husband wife relationship|newspaper|ship|wake",3,"Color","Drama",2001,"English","USA","R",2.35,"http://www.imdb.com/title/tt0120824/?ref_=fn_tt_tt_1",11405825,3.5e+07,6.8
"Jeepers Creepers II ",104,"Victor Salva",108,"Nicki Aycox",296,"Jonathan Breck",270,"Billy Aaron Brown",177,167,316,45102,1340,0,"cheerleader|farmer|fear|high school basketball|nightmare",0,"Color","Horror",2003,"English","USA","R",2.35,"http://www.imdb.com/title/tt0301470/?ref_=fn_tt_tt_1",35143332,1.7e+07,5.6
"Waiting for Guffman ",84,"Christopher Guest",378,"Catherine O'Hara",925,"Fred Willard",729,"Larry Miller",611,50,202,22697,3559,0,"amateur theater|dentist|missouri|small town|travel agent",0,"Color","Comedy",1996,"English","USA","R",1.85,"http://www.imdb.com/title/tt0118111/?ref_=fn_tt_tt_1",2892582,4e+06,7.6
"The Color Purple ",154,"Steven Spielberg",14000,"Oprah Winfrey",852,"Rae Dawn Chong",581,"Dana Ivey",271,70,199,60988,2592,6000,"book strap|girl|racial discrimination|racial tension|stereotype",0,"Color","Drama",1985,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0088939/?ref_=fn_tt_tt_1",94175854,1.5e+07,7.8
"Colombiana ",112,"Olivier Megaton",118,"Jordi Mollà",877,"Callum Blue",738,"Jesse Borrego",674,201,203,76498,3432,15000,"female in a shower|female nudity|premarital sex|sex scene|woman wearing a miniskirt",0,"Color","Action|Crime|Drama|Thriller",2011,"English","France","PG-13",2.35,"http://www.imdb.com/title/tt1657507/?ref_=fn_tt_tt_1",36665854,4e+07,6.4
"Tusk ",102,"Kevin Smith",0,"Johnny Depp",40000,"Haley Joel Osment",3000,"Michael Parks",387,254,261,31089,43810,20000,"canada|human becoming an animal|mad scientist|part of trilogy|walrus",0,"Color","Comedy|Drama|Horror",2014,"English","USA","R",2.35,"http://www.imdb.com/title/tt3099498/?ref_=fn_tt_tt_1",1821983,3e+06,5.4
"Pollock ",122,"Ed Harris",0,"John Heard",697,"Bud Cort",394,"Amy Madigan",221,115,148,23023,1517,0,"1940s|artist|drinking|life magazine|painter",0,"Color","Biography|Drama",2000,"English","USA","R",1.85,"http://www.imdb.com/title/tt0183659/?ref_=fn_tt_tt_1",8596914,6e+06,7
"The Quiet American ",101,"Phillip Noyce",176,"Brendan Fraser",3000,"Tzi Ma",268,"Holmes Osborne",83,149,199,24019,3431,983,"american|french|saigon|vietnam|vietnamese",2,"Color","Drama|Mystery|Romance|Thriller|War",2002,"English","UK","R",2.35,"http://www.imdb.com/title/tt0258068/?ref_=fn_tt_tt_1",12987647,3e+07,7.1
"Risen ",107,"Kevin Reynolds",58,"Peter Firth",141,"Jan Cornet",76,"María Botto",47,122,117,12276,389,21000,"biblical|crucifixion|judea|resurrection|roman soldier",2,"Color","Action|Adventure|Drama|Mystery",2016,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt3231054/?ref_=fn_tt_tt_1",36874745,2e+07,6.3
"The Boy Next Door ",91,"Rob Cohen",357,"Ryan Guzman",3000,"Hill Harper",465,"Adam Hicks",326,149,131,27198,4807,8000,"adultery|argument|older woman younger man relationship|oral sex|sex scene",1,"Color","Mystery|Thriller",2015,"English","USA","R",2.35,"http://www.imdb.com/title/tt3181822/?ref_=fn_tt_tt_1",35385560,4e+06,4.6
"The Statement ",120,"Norman Jewison",278,"Charlotte Rampling",844,"Colin Salmon",766,"John Neville",387,54,52,4257,3286,188,"eiffel tower|nazi|police|ritual|stew",4," Black and White","Drama|Thriller",2003,"English","Canada","R",1.85,"http://www.imdb.com/title/tt0340376/?ref_=fn_tt_tt_1",763044,2.3e+07,6.2
"The Mothman Prophecies ",119,"Mark Pellington",89,"Debra Messing",650,"Will Patton",537,"David Eigenberg",395,166,460,63677,1651,0,"car accident|death of wife|mothman|point pleasant west virginia|urban legend",0,"Color","Drama|Horror|Mystery|Thriller",2002,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0265349/?ref_=fn_tt_tt_1",35228696,3.2e+07,6.5
"Split Second ",96,"Tony Maylam",6,"Michael J. Pollard",206,"Alun Armstrong",192,"Alastair Duncan",38,39,75,8391,493,0,"appearing from water|breasts|creature|partner|water",0,"Color","Action|Crime|Horror|Sci-Fi|Thriller",1992,"English","UK","R",1.85,"http://www.imdb.com/title/tt0105459/?ref_=fn_tt_tt_1",5430822,7e+06,6.2
"Tomorrowland ",130,"Brad Bird",663,"Judy Greer",2000,"Chris Bauer",638,"Thomas Robinson",604,443,497,128306,5046,37000,"boy genius|futuristic city|inventor|teenage girl|time travel",2,"Color","Action|Adventure|Family|Mystery|Sci-Fi",2015,"English","USA","PG",2.2,"http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1",93417865,1.9e+08,6.5
"Timeline ",116,"Richard Donner",503,"Paul Walker",23000,"Gerard Butler",18000,"Ethan Embry",982,123,457,53057,43887,0,"castle|france|professor|student|time machine",0,"Color","Action|Adventure|Sci-Fi",2003,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0300556/?ref_=fn_tt_tt_1",19480739,8e+07,5.6
"Holes ",117,"Andrew Davis",99,"Tim Blake Nelson",596,"Zane Holtz",265,"Ski Carr",165,106,331,58222,1293,0,"bad luck|camp|curse|digging|hole",0," Black and White","Adventure|Comedy|Drama|Family|Mystery",2003,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0311289/?ref_=fn_tt_tt_1",67325559,2e+07,7.1
"The Big Short ",130,"Adam McKay",285,"Ryan Gosling",33000,"Christian Bale",23000,"Charlie Talbert",767,426,374,182983,57308,99000,"bank|banking|finance|fraud|mortgage",4,"Color","Biography|Comedy|Drama|History",2015,"English","USA","R",2.35,"http://www.imdb.com/title/tt1596363/?ref_=fn_tt_tt_1",70235322,2.8e+07,7.8
"Dangerous Liaisons ",119,"Stephen Frears",350,"Keanu Reeves",18000,"Peter Capaldi",17000,"Swoosie Kurtz",418,51,143,52846,35501,0,"catholic|corruption|emotional abuse|france|seduction",2,"Color","Drama|Romance",1988,"English","USA","R",1.85,"http://www.imdb.com/title/tt0094947/?ref_=fn_tt_tt_1",34700000,1.4e+07,7.7
"Eulogy ",85,"Michael Clancy",0,"Zooey Deschanel",11000,"Rip Torn",826,"Kelly Preston",742,27,68,7690,14656,376,"dysfunctional family|family relationships|family reunion|funeral|twin",6,"Color","Comedy|Drama",2004,"English","USA","R",1.85,"http://www.imdb.com/title/tt0349416/?ref_=fn_tt_tt_1",70527,6500000,6.7
"My Best Friend's Wedding ",105,"P.J. Hogan",29,"Julia Roberts",8000,"Christopher Masterson",1000,"Rupert Everett",692,84,169,98199,12344,0,"best friend|chick flick|male female friendship|promise|wedding",1,"Color","Comedy|Romance",1997,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0119738/?ref_=fn_tt_tt_1",126805112,4.6e+07,6.3
"The Last House on the Left ",114,"Dennis Iliadis",29,"Tony Goldwyn",956,"Monica Potter",878,"Martha MacIsaac",616,241,279,67822,3861,0,"kidnapping|lake|microwave oven|psychopath|woods",0,"Color","Crime|Horror|Thriller",2009,"English","USA","R",1.85,"http://www.imdb.com/title/tt0844708/?ref_=fn_tt_tt_1",32721635,1.5e+07,6.6
"The Good Girl ",93,"Miguel Arteta",44,"Jake Gyllenhaal",15000,"Zooey Deschanel",11000,"Tim Blake Nelson",596,107,298,37952,27646,938,"dysfunctional marriage|marijuana|small town|store|trying to conceive",3,"Color","Drama|Romance",2002,"English","USA","R",1.85,"http://www.imdb.com/title/tt0279113/?ref_=fn_tt_tt_1",14015786,5e+06,6.5
"Magnolia ",188,"Paul Thomas Anderson",0,"Patton Oswalt",786,"Neil Flynn",625,"Jim Meskimen",272,224,1437,241030,1906,13000,"abusive father|coincidence|fictional game show|fictional quiz show|multiple storyline",1,"Color","Drama",1999,"English","USA","R",2.35,"http://www.imdb.com/title/tt0175880/?ref_=fn_tt_tt_1",22450975,3.7e+07,8
"The Hunger Games: Mockingjay - Part 1 ",123,"Francis Lawrence",508,"Jennifer Lawrence",34000,"Philip Seymour Hoffman",22000,"Josh Hutcherson",14000,403,591,305008,81385,52000,"based on young adult novel|manipulation|rebellion|symbol|uprising",1,"Color","Adventure|Sci-Fi|Thriller",2014,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1951265/?ref_=fn_tt_tt_1",337103873,1.25e+08,6.7
"Super 8 ",112,"J.J. Abrams",14000,"Joel Courtney",1000,"AJ Michalka",560,"Zach Mills",417,539,849,287822,3388,37000,"deputy|group of friends|time|train|train crash",0,"Color","Mystery|Sci-Fi|Thriller",2011,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1650062/?ref_=fn_tt_tt_1",126975169,5e+07,7.1
"Ghosts of Mars ",98,"John Carpenter",0,"Jason Statham",26000,"Clea DuVall",1000,"Natasha Henstridge",900,156,460,43006,28867,0,"head on a stake|machine gun|martian|nuclear reactor|outer space",5,"Color","Action|Horror|Sci-Fi",2001,"English","USA","R",2.35,"http://www.imdb.com/title/tt0228333/?ref_=fn_tt_tt_1",8434601,2.8e+07,4.9
"Seven Years in Tibet ",136,"Jean-Jacques Annaud",218,"Brad Pitt",11000,"Mako",691,"Victor Wong",400,76,119,96385,12226,0,"austria|dalai lama|himalaya|mountain|tibet",1,"Color","Adventure|Biography|Drama|History|War",1997,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0120102/?ref_=fn_tt_tt_1",37901509,7e+07,7
"Half Nelson ",106,"Ryan Fleck",31,"Ryan Gosling",33000,"Tristan Mack Wilds",519,"Jeff Lima",71,208,189,70885,33734,0,"bathroom|classroom|dialectics|drugs|student",2,"Color","Drama",2006,"English","USA","R",1.85,"http://www.imdb.com/title/tt0468489/?ref_=fn_tt_tt_1",2694973,7e+05,7.2
"Bringing Down the House ",105,"Adam Shankman",163,"Angus T. Jones",1000,"Kimberly J. Brown",409,"Steve Harris",338,121,236,30058,2505,800,"divorce|lawyer|spanking|villain arrested|wrongful conviction",2,"Color","Comedy",2003,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0305669/?ref_=fn_tt_tt_1",132541238,3.3e+07,5.5
"The Theory of Everything ",123,"James Marsh",120,"Eddie Redmayne",13000,"Emily Watson",876,"Simon McBurney",149,419,388,265507,14100,90000,"based on memoir|cambridge university|husband wife relationship|lou gehrig's disease|physicist",0,"Color","Biography|Drama|Romance",2014,"English","UK","PG-13",2.35,"http://www.imdb.com/title/tt2980516/?ref_=fn_tt_tt_1",35887263,1.5e+07,7.7
"Dark City ",111,"Alex Proyas",295,"Rufus Sewell",3000,"William Hurt",882,"Bruce Spence",531,222,624,156929,4696,14000,"memory|murder|neo noir|retrofuturism|tech noir",1,"Color","Action|Drama|Fantasy|Mystery|Sci-Fi|Thriller",1998,"English","Australia","R",2.35,"http://www.imdb.com/title/tt0118929/?ref_=fn_tt_tt_1",14337579,2.7e+07,7.7
"12 Years a Slave ",134,"Steve McQueen",0,"Quvenzhané Wallis",2000,"Scoot McNairy",660,"Taran Killam",500,597,695,439176,4251,83000,"racism|separation from family|social injustice|torture|whipping",0,"Color","Biography|Drama|History",2013,"English","USA","R",2.35,"http://www.imdb.com/title/tt2024544/?ref_=fn_tt_tt_1",56667870,2e+07,8.1
"Les Misérables ",158,"Tom Hooper",0,"Hugh Jackman",20000,"Eddie Redmayne",13000,"Anne Hathaway",11000,488,845,243834,46204,144000,"barricade|innkeeper|parole|rebellion|student",1,"Color","Drama|Musical|Romance",2012,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt1707386/?ref_=fn_tt_tt_1",148775460,6.1e+07,7.6
"Knight and Day ",117,"James Mangold",446,"Tom Cruise",10000,"Marc Blucas",973,"Jordi Mollà",877,283,348,148280,12731,11000,"chase|fbi|garage|spy|surveillance",0,"Color","Action|Comedy|Romance",2010,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1013743/?ref_=fn_tt_tt_1",76418654,1.17e+08,6.3
"The Roommate ",91,"Christian E. Christiansen",26,"Leighton Meester",3000,"Danneel Ackles",1000,"Frances Fisher",638,138,115,29147,5349,0,"animal abuse(non graphic)|cat killer|college|dead cat|death of cat",1,"Color","Drama|Horror|Thriller",2011,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1265990/?ref_=fn_tt_tt_1",37300107,1.6e+07,4.8
"Dead Snow ",91,"Tommy Wirkola",75,"Bjørn Sundquist",35,"Stig Frode Henriksen",16,"Ane Dahl Torp",13,224,200,54601,116,23000,"medical student|nazi|snow|snowmobile|zombie",0,"Color","Comedy|Horror",2009,"Norwegian","Norway","Not Rated",1.85,"http://www.imdb.com/title/tt1278340/?ref_=fn_tt_tt_1",41709,8e+05,6.4
"10 Cloverfield Lane ",104,"Dan Trachtenberg",16,"Bradley Cooper",14000,"John Gallagher Jr.",338,"Sumalee Montano",82,411,440,126893,14504,33000,"alien|bunker|car crash|kidnapping|minimal cast",0,"Color","Drama|Horror|Mystery|Sci-Fi|Thriller",2016,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1179933/?ref_=fn_tt_tt_1",71897215,1.5e+07,7.3
"The Sweeney ",112,"Nick Love",63,"Hayley Atwell",2000,"Ray Winstone",1000,"Alan Ford",422,111,99,16445,4810,0,"bank|criminal|detective|flying squad|policewoman",4,"Color","Action|Crime|Drama",2012,"English","UK","R",2.35,"http://www.imdb.com/title/tt0857190/?ref_=fn_tt_tt_1",26345,3e+06,6.1
"The Purge ",85,"James DeMonaco",65,"Rhys Wakefield",942,"Adelaide Kane",810,"Chris Mulkey",535,361,578,139329,3708,31000,"class differences|killing spree|one night|suburb|violence",0,"Color","Horror|Sci-Fi|Thriller",2013,"English","USA","R",2.35,"http://www.imdb.com/title/tt2184339/?ref_=fn_tt_tt_1",64423650,3e+06,5.7
"The Curious Case of Benjamin Button ",166,"David Fincher",21000,"Brad Pitt",11000,"Jason Flemyng",1000,"Julia Ormond",919,362,822,459346,13333,23000,"deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging",2,"Color","Drama|Fantasy|Romance",2008,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0421715/?ref_=fn_tt_tt_1",127490802,1.5e+08,7.8
"The Avengers ",173,"Joss Whedon",0,"Chris Hemsworth",26000,"Robert Downey Jr.",21000,"Scarlett Johansson",19000,703,1722,995415,87697,123000,"alien invasion|assassin|battle|iron man|soldier",3,"Color","Action|Adventure|Sci-Fi",2012,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1",623279547,2.2e+08,8.1
"Space Jam ",88,"Joe Pytka",30,"Bill Murray",13000,"Wayne Knight",967,"Michael Jordan",366,46,123,112167,15001,0,"alien|basketball|basketball game|cult film|monstars",1,"Color","Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi|Sport",1996,"English","USA","PG",1.77,"http://www.imdb.com/title/tt0117705/?ref_=fn_tt_tt_1",90443603,8e+07,6.3
"Swing Vote ",120,"Joshua Michael Stern",0,"Madeline Carroll",1000,"Judge Reinhold",901,"Nathan Lane",886,131,79,15079,6212,1000,"ballot|election|new mexico|vote|voting",1,"Color","Comedy|Drama",2008,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1027862/?ref_=fn_tt_tt_1",16284360,2.1e+07,6.1
"Oculus ",104,"Mike Flanagan",59,"James Lafferty",972,"Rory Cochrane",407,"Garrett Ryan",202,336,339,85688,2071,23000,"home office|mirror|released from a mental hospital|trauma|video camera",0,"Color","Horror|Mystery",2013,"English","USA","R",2.35,"http://www.imdb.com/title/tt2388715/?ref_=fn_tt_tt_1",27689474,5e+06,6.5
"Madagascar 3: Europe's Most Wanted ",93,"Eric Darnell",35,"Jada Pinkett Smith",851,"Martin Short",770,"Cedric the Entertainer",436,211,154,119213,2444,17000,"animal|circus|island name in title|lemur|penguin",0,"Color","Adventure|Animation|Comedy|Family",2012,"English","USA","PG",1.85,"http://www.imdb.com/title/tt1277953/?ref_=fn_tt_tt_1",216366733,1.45e+08,6.9
"Muppets Most Wanted ",119,"James Bobin",33,"Ty Burrell",3000,"Tina Fey",2000,"Hugh Bonneville",518,277,110,24285,6089,10000,"europe|frog|gulag|prison break|puppet",4,"Color","Adventure|Comedy|Crime|Family|Musical",2014,"English","USA","PG",1.85,"http://www.imdb.com/title/tt2281587/?ref_=fn_tt_tt_1",51178893,5e+07,6.4
"Tootsie ",116,"Sydney Pollack",521,"Bill Murray",13000,"Sydney Pollack",521,"Teri Garr",481,94,194,77366,14701,0,"actor|actress|friend|love|reputation",1,"Color","Comedy|Drama|Romance",1982,"English","USA","PG",2.35,"http://www.imdb.com/title/tt0084805/?ref_=fn_tt_tt_1",177200000,2.2e+07,7.4
"Mr 3000 ",104,"Charles Stone III",30,"Bernie Mac",1000,"Chris Noth",962,"Paul Sorvino",635,63,63,12164,4462,491,"baseball|baseball movie|cartoon on tv|dodge viper|retirement",1,"Color","Comedy|Drama|Romance|Sport",2004,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0339412/?ref_=fn_tt_tt_1",21800302,3e+07,5.5
"Jade ",107,"William Friedkin",607,"Michael Biehn",2000,"Chazz Palminteri",979,"Linda Fiorentino",602,50,70,9227,5461,422,"blackmail|investigation|murder|panties pulled down|prostitution",0,"Color","Crime|Drama|Thriller",1995,"English","USA","R",1.85,"http://www.imdb.com/title/tt0113451/?ref_=fn_tt_tt_1",9795017,5e+07,5.1
"The Sea Inside ",125,"Alejandro Amenábar",448,"Belén Rueda",273,"Lola Dueñas",114,"Tamar Novas",93,157,140,64556,529,0,"dignity|euthanasia|freedom|lawyer|sailor",1,"Color","Biography|Drama|Romance",2004,"Spanish","Spain","PG-13",2.35,"http://www.imdb.com/title/tt0369702/?ref_=fn_tt_tt_1",2086345,1e+07,8.1
"The Juror ",118,"Brian Gibson",13,"Joseph Gordon-Levitt",23000,"Demi Moore",2000,"Anne Heche",643,28,62,13995,26907,353,"breasts|mafia|sex scene|temple|woods",1,"Color","Drama|Thriller",1996,"English","USA","R",2.35,"http://www.imdb.com/title/tt0116731/?ref_=fn_tt_tt_1",44834712,4.4e+07,5.6
"A Serious Man ",106,"Ethan Coen",1000,"Michael Stuhlbarg",816,"Fred Melamed",105,"Peter Breitmayer",98,341,324,102125,1120,10000,"bar mitzvah|jewish|marital breakup|nose job|rabbi",1,"Color","Comedy|Drama",2009,"English","USA","R",1.85,"http://www.imdb.com/title/tt1019452/?ref_=fn_tt_tt_1",9190525,7e+06,7
"Ong-bak 2 ",110,"Tony Jaa",0,"Nirut Sirichanya",64,"Petchtai Wongkamlao",45,"Sarunyu Wongkrachang",7,110,72,24570,134,0,"cult film|elephant|jungle|martial arts|stylized violence",0,"Color","Action",2008,"Thai","Thailand","R",2.35,"http://www.imdb.com/title/tt0785035/?ref_=fn_tt_tt_1",102055,3e+08,6.2
"Air Force One ",124,"Wolfgang Petersen",249,"Harrison Ford",11000,"Gary Oldman",10000,"Dean Stockwell",936,142,393,146134,23603,0,"ex soldier|hijacker|hostage|president|terrorist",1,"Color","Action|Adventure|Drama|Thriller",1997,"English","USA","R",2.35,"http://www.imdb.com/title/tt0118571/?ref_=fn_tt_tt_1",172620724,8.5e+07,6.4
"The Ice Storm ",112,"Ang Lee",0,"Joan Allen",805,"Kate Burton",223,"Henry Czerny",177,124,287,46396,1466,0,"ice|ice storm|storm|thanksgiving|virgin",0,"Color","Drama",1997,"English","USA","R",1.85,"http://www.imdb.com/title/tt0119349/?ref_=fn_tt_tt_1",7837632,1.8e+07,7.5
"Ali ",165,"Michael Mann",0,"Will Smith",10000,"Jada Pinkett Smith",851,"Joe Morton",780,174,386,79186,14196,0,"african american protagonist|african americans|boxing gym|gym|rumble in the jungle",1," Black and White","Biography|Drama|Sport",2001,"English","USA","R",2.35,"http://www.imdb.com/title/tt0248667/?ref_=fn_tt_tt_1",58183966,1.07e+08,6.8
"Like Mike ",99,"John Schultz",13,"Brenda Song",1000,"Robert Forster",889,"Anne Meara",837,39,72,15074,3679,1000,"basketball|lightning|nba|orphanage|shoe",7,"Color","Comedy|Family|Fantasy|Sport",2002,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0308506/?ref_=fn_tt_tt_1",51432423,3e+07,5.1
"Astro Boy ",94,"David Bowers",42,"Nicolas Cage",12000,"Charlize Theron",9000,"Dee Bradley Baker",668,138,77,25681,23365,0,"betrayal|futuristic|gladiator|robot|scientist",1,"Color","Action|Animation|Comedy|Family|Sci-Fi",2009,"English","Hong Kong","PG",2.35,"http://www.imdb.com/title/tt0375568/?ref_=fn_tt_tt_1",19548064,6.5e+07,6.3
"The Sweet Hereafter ",112,"Atom Egoyan",460,"Bruce Greenwood",990,"Sarah Polley",900,"Simon Baker",395,120,196,26720,2820,920,"anger|bus|child|lawyer|school",0,"Color","Drama",1997,"English","Canada","R",2.35,"http://www.imdb.com/title/tt0120255/?ref_=fn_tt_tt_1",4306697,5e+06,7.7
"Mirrormask ",101,"Dave McKean",21,"Stephanie Leonidas",420,"Gina McKee",291,"Rob Brydon",161,116,151,20275,1215,0,"circus|dark fantasy|dream|dream world|fantasy world",0,"Color","Adventure|Fantasy",2005,"English","UK","PG",1.85,"http://www.imdb.com/title/tt0366780/?ref_=fn_tt_tt_1",864959,4e+06,6.9
"Heaven's Gate ",325,"Michael Cimino",517,"Jeff Bridges",12000,"Sam Waterston",849,"Isabelle Huppert",678,102,189,9830,14255,1000,"1890s|hired gun|immigrant|johnson county war|sheriff",0,"Color","Adventure|Drama|Western",1980,"English","USA","R",2.35,"http://www.imdb.com/title/tt0080855/?ref_=fn_tt_tt_1",1500000,4.4e+07,6.8
"Deep Rising ",106,"Stephen Sommers",208,"Djimon Hounsou",3000,"Jason Flemyng",1000,"Wes Studi",855,106,273,26551,6558,0,"creature feature|hijacker|ocean|ship|shot in the leg",0,"Color","Action|Adventure|Horror|Sci-Fi",1998,"English","USA","R",2.35,"http://www.imdb.com/title/tt0118956/?ref_=fn_tt_tt_1",11146409,4.5e+07,6
"The Brown Bunny ",93,"Vincent Gallo",787,"Vincent Gallo",787,"Cheryl Tiegs",96,"Anna Vareschi",0,115,226,11487,883,952,"boyfriend girlfriend relationship|erection|female frontal nudity|gang rape|prostitute",0,"Color","Drama",2003,"English","USA","Not Rated",1.66,"http://www.imdb.com/title/tt0330099/?ref_=fn_tt_tt_1",365734,1e+07,5
"Source Code ",93,"Duncan Jones",0,"Jake Gyllenhaal",15000,"Cas Anvar",491,"Russell Peters",355,522,571,379462,16034,56000,"bomber|time|time loop|train|trapped in a time loop",3,"Color","Mystery|Sci-Fi|Thriller",2011,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0945513/?ref_=fn_tt_tt_1",54696902,3.2e+07,7.5
"Insidious: Chapter 3 ",97,"Leigh Whannell",482,"Lin Shaye",852,"Hayley Kiyoko",542,"Leigh Whannell",482,242,183,54190,2426,29000,"demon|possession|psychic|supernatural|teenager",0,"Color","Fantasy|Horror|Thriller",2015,"English","Canada","PG-13",2.35,"http://www.imdb.com/title/tt3195644/?ref_=fn_tt_tt_1",52200504,1e+07,6.1
"Do the Right Thing ",120,"Spike Lee",0,"Ruby Dee",782,"John Savage",652,"Danny Aiello",388,103,418,59524,2892,0,"black militant|frustration|pizza|pizza parlor|pizzeria",2,"Color","Drama",1989,"English","USA","R",1.85,"http://www.imdb.com/title/tt0097216/?ref_=fn_tt_tt_1",27545445,6500000,7.9
"Scary Movie 5 ",88,"Malcolm D. Lee",92,"Marisa Saks",31000,"Snoop Dogg",881,"Molly Shannon",636,153,177,50337,34319,13000,"2010s|ape|ballet|psychic|supernatural",8,"Color","Comedy",2013,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0795461/?ref_=fn_tt_tt_1",32014289,2e+07,3.5
"The Nutcracker in 3D ",110,"Andrey Konchalovskiy",96,"Shirley Henderson",887,"Nathan Lane",886,"Richard E. Grant",554,47,24,2508,2728,788,"box office flop|christmas|christmas eve|critically bashed|toy comes to life",0,"Color","Action|Family|Fantasy|Musical",2010,"English","UK","PG",2.35,"http://www.imdb.com/title/tt1041804/?ref_=fn_tt_tt_1",190562,9e+07,4.4
"Before Sunset ",80,"Richard Linklater",0,"Vernon Dobtcheff",50,"Albert Delpy",8,"Marie Pillet",3,211,492,168398,65,13000,"book|bookstore|love|simultaneity|train",0,"Color","Drama|Romance",2004,"English","USA","R",1.85,"http://www.imdb.com/title/tt0381681/?ref_=fn_tt_tt_1",5792822,2700000,8
"Rush ",123,"Ron Howard",2000,"Chris Hemsworth",26000,"Olivia Wilde",10000,"Alexandra Maria Lara",471,393,475,312629,37206,83000,"1970s|female rear nudity|formula 1|rivalry|sex with a nurse",0,"Color","Action|Biography|Drama|Sport",2013,"English","UK","R",2.35,"http://www.imdb.com/title/tt1979320/?ref_=fn_tt_tt_1",26903709,3.8e+07,8.1
"Anacondas: The Hunt for the Blood Orchid ",97,"Dwight H. Little",27,"Nicholas Gonzalez",601,"Salli Richardson-Whitfield",543,"Johnny Messner",522,94,144,22243,2730,686,"anaconda|blood|borneo|flower|orchid",0,"Color","Action|Adventure|Horror|Thriller",2004,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0366174/?ref_=fn_tt_tt_1",31526393,2.5e+07,4.6
