"","movie_title","duration","director_name","director_facebook_likes","actor_1_name","actor_1_facebook_likes","actor_2_name","actor_2_facebook_likes","actor_3_name","actor_3_facebook_likes","num_critic_for_reviews","num_user_for_reviews","num_voted_users","cast_total_facebook_likes","movie_facebook_likes","plot_keywords","facenumber_in_poster","color","genres","title_year","language","country","content_rating","aspect_ratio","movie_imdb_link","gross","budget","imdb_score","ROE","ROE_B","ROI","scs"
"303","Dressed to Kill ",104,"Brian De Palma",0,"Angie Dickinson",754,"David Margulies",567,"Nancy Allen",517,121,201,23986,2442,0,"apartment|elevator|murder|psychiatrist|sunglasses",0,"Color","Mystery|Romance|Thriller",1980,"English","USA","X",2.35,"http://www.imdb.com/title/tt0080661/?ref_=fn_tt_tt_1",31899000,6500000,7.1,3.91,1,3.90753846153846,1
"307","Rushmore ",93,"Wes Anderson",0,"Bill Murray",13000,"Connie Nielsen",933,"Olivia Williams",766,179,640,134458,15716,5000,"coming of age|friendship|private school|student|teacher",2,"Color","Comedy|Drama",1998,"English","USA","R",2.35,"http://www.imdb.com/title/tt0128445/?ref_=fn_tt_tt_1",17096053,9000000,7.7,0.9,1,0.899561444444444,0
"311","Footloose ",107,"Herbert Ross",71,"Dianne Wiest",967,"Chris Penn",455,"Lori Singer",304,60,113,51459,1962,0,"church|cowboy boots|dancing|high school dance|teenager",0,"Color","Drama|Music|Romance",1984,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0087277/?ref_=fn_tt_tt_1",80000000,8200000,6.5,8.76,1,8.75609756097561,1
"314","Mama ",100,"Andrés Muschietti",127,"Javier Botet",1000,"Megan Charpentier",340,"Isabelle Nélisse",250,393,304,134869,1949,57000,"aunt|children|death of sister|forest|hiding in a closet",1,"Color","Fantasy|Horror",2013,"English","Canada","PG-13",1.85,"http://www.imdb.com/title/tt2023587/?ref_=fn_tt_tt_1",71588220,20000000,6.2,2.58,1,2.579411,1
"316","Neighbors 2: Sorority Rising ",92,"Nicholas Stoller",89,"Chloë Grace Moretz",17000,"Ike Barinholtz",329,"Kiersey Clemons",190,177,111,28041,17860,0,"bare chested male|gay|gay best friend|gay man|gay marriage proposal",0,"Color","Comedy",2016,"English","USA","R",2.35,"http://www.imdb.com/title/tt4438848/?ref_=fn_tt_tt_1",55291815,35000000,6,0.58,1,0.579766142857143,0
"317","Snatch ",104,"Guy Ritchie",0,"Jason Statham",26000,"Brad Pitt",11000,"Jason Flemyng",1000,151,726,600996,39175,27000,"boxer|boxing|diamond|fight|gypsy",6,"Color","Comedy|Crime",2000,"English","UK","R",1.85,"http://www.imdb.com/title/tt0208092/?ref_=fn_tt_tt_1",30093107,6000000,8.3,4.02,1,4.01551783333333,1
"318","The Bourne Identity ",119,"Doug Liman",218,"Matt Damon",13000,"Josh Hamilton",147,"Nicky Naudé",73,249,849,407601,13249,0,"amnesia|assassin|money|political thriller|three word title",1,"Color","Action|Mystery|Thriller",2002,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0258463/?ref_=fn_tt_tt_1",121468960,60000000,7.9,1.02,1,1.02448266666667,1
"321","Magic Mike XXL ",115,"Gregory Jacobs",13,"Matt Bomer",20000,"Channing Tatum",17000,"Kevin Nash",642,222,135,38202,38963,41000,"male bonding|male friendship|male objectification|muscular|stripper",3,"Color","Comedy|Drama|Music",2015,"English","USA","R",2.35,"http://www.imdb.com/title/tt2268016/?ref_=fn_tt_tt_1",66009973,14800000,5.7,3.46,1,3.46013331081081,1
"323","The Lincoln Lawyer ",118,"Brad Furman",65,"Matthew McConaughey",11000,"Margarita Levieva",980,"Frances Fisher",638,274,203,173848,13943,25000,"defense attorney|defense lawyer|lawyer|plot twist|prostitute",1,"Color","Crime|Drama|Thriller",2011,"English","USA","R",2.35,"http://www.imdb.com/title/tt1189340/?ref_=fn_tt_tt_1",57981889,40000000,7.3,0.45,0,0.449547225,0
"324","Man of Steel ",143,"Zack Snyder",0,"Henry Cavill",15000,"Christopher Meloni",3000,"Harry Lennix",748,733,2536,548573,20495,118000,"based on comic book|british actor playing american character|final battle|origin of hero|reboot",0,"Color","Action|Adventure|Fantasy|Sci-Fi",2013,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1",291021565,225000000,7.2,0.29,0,0.293429177777778,0
"326","The Mexican ",123,"Gore Verbinski",563,"J.K. Simmons",24000,"Brad Pitt",11000,"Julia Roberts",8000,125,344,87351,43917,2000,"curse|hostage|mexico|pistol|vomiting",0,"Color","Adventure|Comedy|Crime|Romance",2001,"English","USA","R",2.35,"http://www.imdb.com/title/tt0236493/?ref_=fn_tt_tt_1",66808615,34000000,6.1,0.96,1,0.964959264705882,0
"328","Paddington ",95,"Paul King",17,"Julie Walters",838,"Matt Lucas",722,"Sally Hawkins",594,224,174,49207,3697,30000,"bear|ear wax cleaning|fake newsreel|paddington station london|taxidermist",0,"Color","Animation|Comedy|Family|Fantasy",2014,"English","UK","PG",2.35,"http://www.imdb.com/title/tt1109624/?ref_=fn_tt_tt_1",76137505,55000000,7.2,0.38,0,0.384318272727273,0
"331","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",150,"Andrew Adamson",80,"Jim Broadbent",1000,"Kiran Shah",190,"Shane Rangi",82,284,1463,286506,1317,0,"hide and seek|lion|magic|professor|snow",5,"Color","Adventure|Family|Fantasy",2005,"English","USA","PG",2.35,"http://www.imdb.com/title/tt0363771/?ref_=fn_tt_tt_1",291709845,180000000,6.9,0.62,1,0.62061025,0
"332","Stomp the Yard ",109,"Sylvain White",41,"Chris Brown",997,"Laz Alonso",826,"Harry Lennix",748,86,162,19505,3544,0,"atlanta georgia|competition|dancer|death|fraternity",0,"Color","Drama|Music|Romance",2007,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0775539/?ref_=fn_tt_tt_1",61356221,14000000,5.2,3.38,1,3.38258721428571,1
"333","The Great Gatsby ",143,"Baz Luhrmann",1000,"Leonardo DiCaprio",29000,"Elizabeth Debicki",509,"Steve Bisley",77,490,753,362912,29770,115000,"ingratitude|mansion|party|title appears in writing|tragedy",4,"Color","Drama|Romance",2013,"English","Australia","PG-13",2.35,"http://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1",144812796,105000000,7.3,0.38,0,0.379169485714286,0
"335","Teenage Mutant Ninja Turtles III ",96,"Stuart Gillard",8,"Paige Turco",533,"John Aylward",219,"Matt Hill",199,60,87,25086,1254,1000,"battle|japan|magic|samurai|turtle",0,"Color","Action|Adventure|Comedy|Family|Fantasy|Sci-Fi",1993,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0108308/?ref_=fn_tt_tt_1",42660000,17000000,4.8,1.51,1,1.50941176470588,1
"338","The Nut Job ",85,"Peter Lepeniotis",7,"Liam Neeson",14000,"Brendan Fraser",3000,"Sarah Gadon",691,121,64,19547,18795,0,"bank robbery|heist|raccoon|rat|squirrel",0,"Color","Adventure|Animation|Comedy|Family",2014,"English","Canada","PG",1.85,"http://www.imdb.com/title/tt1821658/?ref_=fn_tt_tt_1",64238770,42000000,5.8,0.53,1,0.529494523809524,0
"339","Dodgeball: A True Underdog Story ",92,"Rawson Marshall Thurber",43,"Gary Cole",989,"Stephen Root",939,"Joel David Moore",936,191,392,185345,4730,0,"dodgeball|gym|las vegas|pirate|ups",0," Black and White","Comedy|Sport",2004,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0364725/?ref_=fn_tt_tt_1",114324072,20000000,6.7,4.72,1,4.7162036,1
"341","Scary Movie 4 ",89,"David Zucker",119,"Beau Mirchoff",2000,"Carmen Electra",869,"Regina Hall",807,151,410,93748,5855,1000,"female nudity|male nudity|parody|reference to myspace|sequel",8,"Color","Comedy",2006,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0362120/?ref_=fn_tt_tt_1",90703745,45000000,5.1,1.02,1,1.01563877777778,1
"342","Hancock ",102,"Peter Berg",532,"Will Smith",10000,"Charlize Theron",9000,"Eddie Marsan",979,318,590,343648,21584,0,"bully comeuppance|destruction|prison|superhero|tough girl",0,"Color","Action|Drama",2008,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0448157/?ref_=fn_tt_tt_1",227946274,150000000,6.4,0.52,1,0.519641826666667,0
"343","The English Patient ",162,"Anthony Minghella",333,"Colin Firth",14000,"Kristin Scott Thomas",1000,"Jürgen Prochnow",362,116,457,142067,15912,0,"church|english|flashback|nurse|patient",0,"Color","Drama|Romance|War",1996,"English","USA","R",1.85,"http://www.imdb.com/title/tt0116209/?ref_=fn_tt_tt_1",78651430,27000000,7.4,1.91,1,1.91301592592593,1
"344","Time Bandits ",103,"Terry Gilliam",0,"Shelley Duvall",629,"Michael Palin",561,"Kenny Baker",504,139,177,45890,2730,0,"cult director|dwarf|robin hood|satire|treasure",0,"Color","Adventure|Comedy|Fantasy|Sci-Fi",1981,"English","UK","PG",1.85,"http://www.imdb.com/title/tt0081633/?ref_=fn_tt_tt_1",42365600,5000000,7,7.47,1,7.47312,1
"345","Thor ",115,"Kenneth Branagh",0,"Chris Hemsworth",26000,"Natalie Portman",20000,"Anthony Hopkins",12000,516,738,536314,60059,63000,"battle|marvel cinematic universe|scientist|thor|throne",1,"Color","Action|Adventure|Fantasy",2011,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0800369/?ref_=fn_tt_tt_1",181015141,150000000,7,0.21,0,0.206767606666667,0
"347","This Christmas ",117,"Preston A. Whitmore II",17,"Mekhi Phifer",1000,"Chris Brown",997,"Loretta Devine",912,37,32,6528,6554,0,"christmas|family home|musician|piano|secret",9,"Color","Comedy|Drama|Romance",2007,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0937375/?ref_=fn_tt_tt_1",49121934,13000000,6.1,2.78,1,2.77861030769231,1
"348","Date Night ",101,"Shawn Levy",189,"Mila Kunis",15000,"James Franco",11000,"Steve Carell",7000,247,207,127571,39822,0,"city|new york city|night|reservation|restaurant",2,"Color","Comedy|Crime|Romance|Thriller",2010,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1279935/?ref_=fn_tt_tt_1",98711404,55000000,6.3,0.79,1,0.7947528,0
"350","Black or White ",121,"Mike Binder",57,"Jennifer Ehle",1000,"Gillian Jacobs",837,"Jillian Estell",664,91,57,8058,3745,0,"color in title",2,"Color","Drama",2014,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt2883434/?ref_=fn_tt_tt_1",21569041,9000000,6.6,1.4,1,1.39656011111111,1
"352","Escape from New York ",106,"John Carpenter",0,"Donald Pleasence",742,"Adrienne Barbeau",602,"Tom Atkins",381,201,284,91017,2270,0,"1990s|police|prison|rescue|year 1997",1,"Color","Action|Sci-Fi",1981,"English","UK","R",2.35,"http://www.imdb.com/title/tt0082340/?ref_=fn_tt_tt_1",25244700,6000000,7.2,3.21,1,3.20745,1
"353","Hotel Transylvania ",91,"Genndy Tartakovsky",266,"Steve Buscemi",12000,"Adam Sandler",11000,"Jon Lovitz",11000,256,168,164148,37142,28000,"dracula|hotel|invisible man|monster|transylvania",2,"Color","Animation|Comedy|Family|Fantasy",2012,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0837562/?ref_=fn_tt_tt_1",148313048,85000000,7.1,0.74,1,0.744859388235294,0
"356","Baggage Claim ",96,"David E. Talbert",68,"Djimon Hounsou",3000,"Christina Milian",1000,"Boris Kodjoe",1000,52,41,7098,8097,0,"woman wearing only a man's shirt",9,"Color","Comedy",2013,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt1171222/?ref_=fn_tt_tt_1",21564616,8500000,5,1.54,1,1.53701364705882,1
"357","Before Sunrise ",105,"Richard Linklater",0,"Hanno Pöschl",15,"Hans Weingartner",12,"Dominik Castell",4,121,395,183288,36,22000,"american|conversations|kiss|love|train",1,"Color","Drama|Romance",1995,"English","USA","R",1.85,"http://www.imdb.com/title/tt0112471/?ref_=fn_tt_tt_1",5400000,2500000,8.1,1.16,1,1.16,1
"358","Yogi Bear ",80,"Eric Brevig",40,"Justin Timberlake",3000,"Tom Cavanagh",642,"Josh Robert Thompson",375,143,100,16385,4394,0,"bear|mayor|park|sabotage|yogi bear",0,"Color","Adventure|Animation|Comedy|Family",2010,"English","USA","PG",1.85,"http://www.imdb.com/title/tt1302067/?ref_=fn_tt_tt_1",100169068,80000000,4.6,0.25,0,0.25211335,0
"360","Grease ",110,"Randal Kleiser",116,"Olivia Newton-John",1000,"Stockard Channing",944,"Sid Caesar",898,124,350,170027,5127,13000,"automobile racing|boyfriend girlfriend relationship|high school|wrestling|year 1959",2,"Color","Musical|Romance",1978,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0077631/?ref_=fn_tt_tt_1",181360000,6000000,7.2,29.23,1,29.2266666666667,1
"361","The Omega Code ",100,"Robert Marcarelli",0,"George Coe",488,"William Hootkins",488,"Ayla Kell",440,39,206,4682,2428,129,"code|evil|false accusation|megalomaniac|torah",0,"Color","Action|Adventure|Fantasy|Sci-Fi|Thriller",1999,"English","USA","PG-13",1.37,"http://www.imdb.com/title/tt0203408/?ref_=fn_tt_tt_1",12610552,7500000,3.5,0.68,1,0.681406933333333,0
"363","Twin Falls Idaho ",111,"Michael Polish",35,"Sasha Alexander",980,"William Katt",505,"Jon Gries",482,54,87,3479,3166,180,"conjoined twins|independent film|low budget film|separation|twin",0,"Color","Drama",1999,"English","USA","R",1.85,"http://www.imdb.com/title/tt0162830/?ref_=fn_tt_tt_1",985341,500000,7.3,0.97,1,0.970682,0
"365","Welcome Home, Roscoe Jenkins ",114,"Malcolm D. Lee",92,"Mo'Nique",940,"Mike Epps",706,"Cedric the Entertainer",436,76,39,10791,3565,464,"african american protagonist|comma in title|four word title|name in title|talk show host",3,"Color","Comedy|Drama|Romance",2008,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0494652/?ref_=fn_tt_tt_1",42168445,35000000,5.3,0.2,0,0.204812714285714,0
"366","Up in the Air ",108,"Jason Reitman",655,"J.K. Simmons",24000,"Anna Kendrick",10000,"Chris Lowell",940,391,452,270238,35209,19000,"airport|business trip|downsizing|on the road|travel",0,"Color","Drama|Romance",2009,"English","USA","R",1.85,"http://www.imdb.com/title/tt1193138/?ref_=fn_tt_tt_1",83813460,25000000,7.4,2.35,1,2.3525384,1
"367","Tarnation ",88,"Jonathan Caouette",20,"Greg Ayres",58,"Jonathan Caouette",20,"Renee Leblanc",0,72,114,5709,78,754,"answering machine|home movie|lithium|schizophrenic|video diary",3,"Color","Biography|Documentary",2003,"English","USA","Unrated",1.37,"http://www.imdb.com/title/tt0390538/?ref_=fn_tt_tt_1",592014,218,7.2,2714.66,1,2714.66055045872,1
"368","Glory ",122,"Edward Zwick",380,"Denzel Washington",18000,"Morgan Freeman",11000,"Matthew Broderick",2000,60,365,101889,32930,0,"army|black soldier|military uniform|prejudice|u.s. civil war",3,"Color","Drama|History|War",1989,"English","USA","R",1.85,"http://www.imdb.com/title/tt0097441/?ref_=fn_tt_tt_1",26830000,18000000,7.9,0.49,0,0.490555555555556,0
"369","Soul Food ",115,"George Tillman Jr.",88,"Vanessa Williams",1000,"Mekhi Phifer",1000,"Vivica A. Fox",890,34,30,5275,4737,508,"1990s|family relationships|food in title|sister|unity",6,"Color","Comedy|Drama",1997,"English","USA","R",1.85,"http://www.imdb.com/title/tt0120169/?ref_=fn_tt_tt_1",43490057,7500000,6.9,4.8,1,4.79867426666667,1
"370","The Gallows ",81,"Travis Cluff",3,"Pfeifer Brown",220,"Cassidy Gifford",40,"Reese Mishler",7,159,150,13521,276,0,"breaking and entering|gallows|hanging|high school|stage",0,"Color","Horror|Thriller",2015,"English","USA","R",1.85,"http://www.imdb.com/title/tt2309260/?ref_=fn_tt_tt_1",22757819,100000,4.2,226.58,1,226.57819,1
"374","The Lost Skeleton of Cadavra ",90,"Larry Blamire",56,"Fay Masterson",126,"Brian Howe",76,"Larry Blamire",56,88,118,4117,284,0,"alien|cave|husband wife relationship|monster|skeleton",1," Black and White","Comedy|Horror|Sci-Fi",2001,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0307109/?ref_=fn_tt_tt_1",110536,40000,7,1.76,1,1.7634,1
"379","Sherlock Holmes ",128,"Guy Ritchie",0,"Robert Downey Jr.",21000,"Eddie Marsan",979,"Robert Maillet",727,415,621,477300,23996,20000,"black magic|bridge construction|professor moriarty|scotland yard inspector|sherlock holmes",3,"Color","Action|Adventure|Crime|Mystery|Thriller",2009,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0988045/?ref_=fn_tt_tt_1",209019489,90000000,7.6,1.32,1,1.32243876666667,1
"380","The Princess Diaries ",111,"Garry Marshall",0,"Anne Hathaway",11000,"Hector Elizondo",995,"Heather Matarazzo",529,108,301,94049,13645,0,"cinderella story|fish out of water|makeover|manners|princess",2,"Color","Comedy|Family|Romance",2001,"English","USA","G",1.85,"http://www.imdb.com/title/tt0247638/?ref_=fn_tt_tt_1",108244774,37000000,6.2,1.93,1,1.92553443243243,1
"384","Margin Call ",107,"J.C. Chandor",78,"Kevin Spacey",18000,"Demi Moore",2000,"Ashley Williams",969,290,225,92599,22834,21000,"capital management|financial crisis|financial disaster|investment fraud|management",8,"Color","Biography|Drama|Thriller",2011,"English","USA","R",1.85,"http://www.imdb.com/title/tt1615147/?ref_=fn_tt_tt_1",5354039,3500000,7.1,0.53,1,0.529725428571429,0
"387","Ice Age: Dawn of the Dinosaurs ",94,"Carlos Saldanha",107,"Denis Leary",835,"Maile Flanagan",256,"Kelly Keaton",117,188,132,166791,1258,0,"egg|lost world|rescue|squirrel|weasel",0,"Color","Action|Adventure|Animation|Comedy|Family",2009,"English","USA","PG",1.85,"http://www.imdb.com/title/tt1080016/?ref_=fn_tt_tt_1",196573705,90000000,7,1.18,1,1.18415227777778,1
"388","Despicable Me ",87,"Pierre Coffin",275,"Steve Carell",7000,"Miranda Cosgrove",2000,"Jack McBrayer",975,304,296,385943,11608,31000,"girl|minion|moon|pyramid|white picket fence",0,"Color","Animation|Comedy|Family",2010,"English","USA","PG",1.85,"http://www.imdb.com/title/tt1323594/?ref_=fn_tt_tt_1",251501645,69000000,7.7,2.64,1,2.64495137681159,1
"392","Bill & Ted's Bogus Journey ",93,"Peter Hewitt",12,"Keanu Reeves",18000,"George Carlin",769,"Alex Winter",636,43,117,49680,20188,0,"battle of the bands|bill and ted|heaven|hell|robot",2,"Color","Adventure|Comedy|Fantasy|Music|Sci-Fi",1991,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0101452/?ref_=fn_tt_tt_1",38037513,20000000,6.2,0.9,1,0.90187565,0
"395","How the Grinch Stole Christmas ",110,"Ron Howard",2000,"Clint Howard",1000,"T.J. Thyne",722,"Molly Shannon",636,175,482,141414,4146,0,"box office hit|christmas|materialism|public humiliation|snowflake",0,"Color","Comedy|Family|Fantasy",2000,"English","USA","PG",1.85,"http://www.imdb.com/title/tt0170016/?ref_=fn_tt_tt_1",260031035,123000000,6,1.11,1,1.11407345528455,1
"396","X-Men ",104,"Bryan Singer",0,"Hugh Jackman",20000,"Tyler Mane",764,"Bruce Davison",505,290,1401,452928,21397,0,"first part|mutant|professor|superhero|superhero team",0,"Color","Action|Adventure|Sci-Fi",2000,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt0120903/?ref_=fn_tt_tt_1",157299717,75000000,7.4,1.1,1,1.09732956,1
"397","The Grand Budapest Hotel ",99,"Wes Anderson",0,"Bill Murray",13000,"Tom Wilkinson",1000,"F. Murray Abraham",670,536,644,475518,15082,149000,"first person narration|hotel|lobby boy|mentor protege relationship|painting",0,"Color","Adventure|Comedy|Crime|Drama",2014,"English","USA","R",1.37,"http://www.imdb.com/title/tt2278388/?ref_=fn_tt_tt_1",59073773,25000000,8.1,1.36,1,1.36295092,1
"399","The Women ",114,"Diane English",15,"Jada Pinkett Smith",851,"Debi Mazar",680,"Debra Messing",650,124,125,16582,3485,0,"beauty salon|divorce|fashion|new york|perfume",4,"Color","Comedy|Drama",2008,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt0430770/?ref_=fn_tt_tt_1",26896744,16500000,4.9,0.63,1,0.630105696969697,0
"400","Halloween: Resurrection ",94,"Rick Rosenthal",28,"Jamie Lee Curtis",2000,"Thomas Ian Nicholas",864,"Bianca Kajlich",731,151,614,26905,5440,0,"cult film|halloween|killer|michael myers|serial killer",5,"Color","Comedy|Horror|Thriller",2002,"English","USA","R",2.35,"http://www.imdb.com/title/tt0220506/?ref_=fn_tt_tt_1",30259652,15000000,4.1,1.02,1,1.01731013333333,1
"401","Weekend ",97,"Andrew Haigh",131,"Tom Cullen",507,"Chris New",75,"Vauxhall Jermaine",67,143,68,19846,654,0,"coming out|fellatio|male in bathtub|male nudity|nudity",0,"Color","Drama|Romance",2011,"English","UK","Not Rated",1.85,"http://www.imdb.com/title/tt1714210/?ref_=fn_tt_tt_1",469947,120000,7.7,2.92,1,2.916225,1
"402","Hope Springs ",100,"David Frankel",64,"Meryl Streep",11000,"Steve Carell",7000,"Jean Smart",329,234,178,34258,19420,0,"couple|intimacy|marriage|marriage counseling|middle age couple",2,"Color","Comedy|Drama|Romance",2012,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1535438/?ref_=fn_tt_tt_1",63536011,30000000,6.3,1.12,1,1.11786703333333,1
"403","The Legend of Drunken Master ",102,"Chia-Liang Liu",32,"Andy Lau",483,"Anita Mui",147,"Ho-Sung Pak",75,77,146,34520,768,0,"battle|fight|fighting|martial artist|snake",1,"Color","Action|Comedy",1994,"Cantonese","Hong Kong","R",2.35,"http://www.imdb.com/title/tt0111512/?ref_=fn_tt_tt_1",11546543,2000000,7.6,4.77,1,4.7732715,1
"404","Julie & Julia ",123,"Nora Ephron",0,"Meryl Streep",11000,"Mary Lynn Rajskub",935,"Vanessa Ferlito",923,252,277,79264,13321,13000,"american|blog|book|cook|cooking",2,"Color","Biography|Drama|Romance",2009,"English","USA","PG-13",1.85,"http://www.imdb.com/title/tt1135503/?ref_=fn_tt_tt_1",94125426,40000000,7,1.35,1,1.35313565,1
"406","Insomnia ",118,"Christopher Nolan",22000,"Al Pacino",14000,"Maura Tierney",509,"Crystal Lowe",319,185,651,218771,15658,0,"detective|insomnia|murder|partner|police",0,"Color","Drama|Mystery|Thriller",2002,"English","USA","R",2.35,"http://www.imdb.com/title/tt0278504/?ref_=fn_tt_tt_1",67263182,46000000,7.2,0.46,0,0.462243086956522,0
"407","Yentl ",132,"Barbra Streisand",0,"Miriam Margolyes",405,"Amy Irving",194,"Steven Hill",122,16,68,9503,914,0,"love|study|talmud|wedding|yeshiva",1,"Color","Drama|Musical|Romance",1983,"English","UK","PG",1.85,"http://www.imdb.com/title/tt0086619/?ref_=fn_tt_tt_1",30400000,12000000,6.6,1.53,1,1.53333333333333,1
"408","Safe Haven ",115,"Lasse Hallström",529,"David Lyons",576,"Noah Lomax",447,"Mimi Kirkland",325,184,160,78008,1554,23000,"abusive husband|chick flick|north carolina|secret|widower",0,"Color","Drama|Romance|Thriller",2013,"English","USA","PG-13",2.35,"http://www.imdb.com/title/tt1702439/?ref_=fn_tt_tt_1",71346930,28000000,6.7,1.55,1,1.54810464285714,1
"412","Jaws 2 ",131,"Jeannot Szwarc",82,"Roy Scheider",813,"Murray Hamilton",366,"Joseph Mascolo",85,75,265,51314,1520,0,"great white shark|island|mayor|police chief|shark",0,"Color","Adventure|Horror|Thriller",1978,"English","USA","PG",2.35,"http://www.imdb.com/title/tt0077766/?ref_=fn_tt_tt_1",102922376,20000000,5.7,4.15,1,4.1461188,1
"415","A Time to Kill ",149,"Joel Schumacher",541,"Kevin Spacey",18000,"Matthew McConaughey",11000,"Oliver Platt",1000,71,236,99558,31349,0,"african american|court|law|mississippi|trial",3,"Color","Crime|Drama|Thriller",1996,"English","USA","R",2.35,"http://www.imdb.com/title/tt0117913/?ref_=fn_tt_tt_1",108706165,40000000,7.4,1.72,1,1.717654125,1
"416","Quartet ",98,"Dustin Hoffman",0,"Luke Newberry",358,"Sheridan Smith",156,"Pauline Collins",123,175,126,15684,1114,13000,"divorced couple|opera|reference to giuseppe verdi|retirement|senility",4,"Color","Comedy|Drama",2012,"English","UK","PG-13",2.35,"http://www.imdb.com/title/tt1441951/?ref_=fn_tt_tt_1",18381787,11000000,6.8,0.67,1,0.671071545454546,0
"418","Half Baked ",82,"Tamra Davis",33,"Dave Chappelle",744,"Harland Williams",503,"Clarence Williams III",475,40,164,48225,2400,0,"bail|diabetic|friend|jail|pharmaceutical lab",0,"Color","Comedy|Crime",1998,"English","USA","R",1.85,"http://www.imdb.com/title/tt0120693/?ref_=fn_tt_tt_1",17278980,8000000,6.7,1.16,1,1.1598725,1
"420","Old School ",88,"Todd Phillips",480,"Will Ferrell",8000,"Leah Remini",909,"Patrick Fischler",497,123,404,185258,10325,0,"college|fraternity|friend|house|party",4,"Color","Comedy",2003,"English","USA","R",2.35,"http://www.imdb.com/title/tt0302886/?ref_=fn_tt_tt_1",74608545,24000000,7.2,2.11,1,2.108689375,1
"422","Sugar Hill ",123,"Leon Ichaso",5,"Khandi Alexander",556,"Clarence Williams III",475,"Steve Harris",338,14,35,3119,2149,331,"african american|harlem manhattan new york city|manhattan new york city|new york city|urination",1," Black and White","Drama|Thriller",1993,"English","USA","R",1.85,"http://www.imdb.com/title/tt0107079/?ref_=fn_tt_tt_1",18272447,10000000,5.9,0.83,1,0.8272447,0
"424","Toy Story 2 ",82,"John Lasseter",487,"Tom Hanks",15000,"John Ratzenberger",1000,"Wayne Knight",967,191,515,385871,21275,0,"collector|dog|friend|rescue|toy",2,"Color","Adventure|Animation|Comedy|Family|Fantasy",1999,"English","USA","G",1.85,"http://www.imdb.com/title/tt0120363/?ref_=fn_tt_tt_1",245823397,90000000,7.9,1.73,1,1.73137107777778,1
"425","Kill Bill: Vol. 2 ",137,"Quentin Tarantino",16000,"Vivica A. Fox",890,"Michael Parks",387,"Michael Bowen",348,304,935,512749,1959,0,"assassin|assassination|bride|death|vengeance",0," Black and White","Action|Crime|Drama|Thriller",2004,"English","USA","R",2.35,"http://www.imdb.com/title/tt0378194/?ref_=fn_tt_tt_1",66207920,30000000,8,1.21,1,1.20693066666667,1
"427","How to Train Your Dragon ",98,"Dean DeBlois",255,"Gerard Butler",18000,"America Ferrera",953,"Craig Ferguson",759,288,492,485430,20453,33000,"dragon|island|training|viking|village",0,"Color","Adventure|Animation|Family|Fantasy",2010,"English","USA","PG",2.35,"http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1",217387997,165000000,8.2,0.32,0,0.317503012121212,0
"433","Dope ",103,"Rick Famuyiwa",44,"Kimberly Elise",637,"Rick Fox",256,"Kiersey Clemons",190,180,89,56605,1342,23000,"african american|geek|hip hop|party|tomboy",3,"Color","Comedy|Crime|Drama",2015,"English","USA","R",2.35,"http://www.imdb.com/title/tt3850214/?ref_=fn_tt_tt_1",17474107,7000000,7.3,1.5,1,1.496301,1
"437","The Crying Game ",112,"Neil Jordan",277,"Jim Broadbent",1000,"Miranda Richardson",530,"Stephen Rea",327,63,148,41361,2412,0,"androgynous|full frontal male nudity|irish republican army|psychological drama|tragic love",0,"Color","Crime|Drama|Romance|Thriller",1992,"English","UK","R",2.35,"http://www.imdb.com/title/tt0104036/?ref_=fn_tt_tt_1",62549000,2300000,7.3,26.2,1,26.1952173913043,1
"439","Bedtime Stories ",99,"Adam Shankman",163,"Adam Sandler",11000,"Carmen Electra",869,"Kathryn Joosten",495,144,116,72326,12831,0,"2000s|bedtime story|elephant|handyman|tween girl",0,"Color","Comedy|Family|Fantasy|Romance",2008,"English","USA","PG",2.35,"http://www.imdb.com/title/tt0960731/?ref_=fn_tt_tt_1",109993847,80000000,6.1,0.37,0,0.3749230875,0
